date,google_trend
2010-01,22
2010-02,25
2010-03,22
2010-04,21
2010-05,28
2010-06,25
2010-07,21
2010-08,19
2010-09,21
2010-10,18
2010-11,19
2010-12,17
2011-01,15
2011-02,16
2011-03,17
2011-04,15
2011-05,14
2011-06,13
2011-07,13
2011-08,15
2011-09,15
2011-10,13
2011-11,13
2011-12,13
2012-01,12
2012-02,13
2012-03,11
2012-04,10
2012-05,11
2012-06,11
2012-07,10
2012-08,9
2012-09,10
2012-10,10
2012-11,9
2012-12,9
2013-01,10
2013-02,8
2013-03,8
2013-04,10
2013-05,10
2013-06,10
2013-07,12
2013-08,12
2013-09,14
2013-10,13
2013-11,13
2013-12,11
2014-01,10
2014-02,9
2014-03,10
2014-04,9
2014-05,11
2014-06,11
2014-07,12
2014-08,12
2014-09,13
2014-10,13
2014-11,11
2014-12,13
2015-01,14
2015-02,13
2015-03,13
2015-04,12
2015-05,12
2015-06,13
2015-07,11
2015-08,13
2015-09,15
2015-10,12
2015-11,12
2015-12,14
2016-01,16
2016-02,20
2016-03,18
2016-04,16
2016-05,17
2016-06,19
2016-07,19
2016-08,17
2016-09,18
2016-10,15
2016-11,24
2016-12,18
2017-01,17
2017-02,19
2017-03,21
2017-04,17
2017-05,19
2017-06,18
2017-07,20
2017-08,24
2017-09,26
2017-10,26
2017-11,21
2017-12,27
2018-01,30
2018-02,38
2018-03,39
2018-04,33
2018-05,28
2018-06,28
2018-07,25
2018-08,26
2018-09,28
2018-10,40
2018-11,30
2018-12,31
2019-01,30
2019-02,30
2019-03,28
2019-04,25
2019-05,34
2019-06,26
2019-07,32
2019-08,36
2019-09,37
2019-10,39
2019-11,36
2019-12,34
2020-01,41
2020-02,41
2020-03,76
2020-04,49
2020-05,59
2020-06,59
2020-07,51
2020-08,46
2020-09,50
2020-10,43
2020-11,46
2020-12,49
2021-01,53
2021-02,59
2021-03,66
2021-04,68
2021-05,63
2021-06,63
2021-07,56
2021-08,53
2021-09,54
2021-10,55
2021-11,62
2021-12,77
2022-01,69
2022-02,98
2022-03,97
2022-04,71
2022-05,90
2022-06,98
2022-07,78
2022-08,82
2022-09,96
2022-10,87
2022-11,88
2022-12,100
2023-01,80
2023-02,80
2023-03,81
2023-04,61
2023-05,60
2023-06,64
2023-07,70
2023-08,72
2023-09,68
2023-10,65
2023-11,60
2023-12,72
2024-01,81
2024-02,72
2024-03,60
2024-04,57
2024-05,60
2024-06,74
2024-07,61
2024-08,66
2024-09,62
2024-10,78
2024-11,75
2024-12,65
2025-01,82
2025-02,85
2025-03,71
2025-04,73
2025-05,67
2025-06,64
2025-07,55
2025-08,55
2025-09,54
2025-10,51
2025-11,52
2025-12,52
2025-11,52
2025-12,52
